,Phase,adj_loc,sample_date,influent_composition,sample_type,location_code_orig,broad_location,batch_end_or_start,ICC_to_TCC,avg_cells_per_mL_gmean,avg_cells_per_mL_gstd,assay
894,Phase 1,advanced feedwater,11/27/17,100% advanced,bulkwater_grab,advanced_feed,Pipe_Loop,Batch_Start,0.743609843,161815.154,1.09423415,ICC
217,NA,"full-scale
distribution system
",3/27/18,not applicable,bulkwater_grab,site_14,DWDS_F,NA,0.762600697,47282.2829,1.05191334,TCC
895,Phase 1,transition loops (Phase 1),11/27/17,100% conventional,bulkwater_grab,Loop_1,Pipe_Loop,Batch_End,0.993575739,162481.391,1.01124274,ICC
160,Phase 1,conventional feedwater,12/4/17,100% conventional,bulkwater_grab,conventional_feed,DWDS_F,Batch_Start,0.163835243,22952.9641,1.08238223,TCC
291,Phase 1,conventional control loop,12/4/17,100% conventional,bulkwater_grab,Loop_5,Pipe_Loop,Batch_End,0.605766065,107419.297,1.00747515,TCC
221,NA,"full-scale
distribution system
",3/27/18,not applicable,bulkwater_grab,site_17,DWDS_F,NA,0.800436956,49792.9212,1.05410012,TCC
298,Phase 1,advanced blend loops,12/4/17,"90% advanced
10% conventional",bulkwater_grab,Loop_3,Pipe_Loop,Batch_End,0.054345596,114278.441,1.02116142,TCC
325,Phase 1,transition loops (Phase 1),12/4/17,100% conventional,bulkwater_grab,Loop_2,Pipe_Loop,Batch_End,0.742507652,137742.509,1.00734168,TCC
401,Phase 1,advanced feedwater,12/4/17,100% advanced,bulkwater_grab,advanced_feed,Pipe_Loop,Batch_Start,0.703670486,271910.884,1.16435701,TCC
225,NA,"full-scale
distribution system
",4/26/18,not applicable,bulkwater_grab,site_15,DWDS_F,NA,0.773039224,51441.2252,1.02473728,TCC
417,Phase 1,advanced blend loops,12/4/17,"90% advanced
10% conventional",bulkwater_grab,Loop_4,Pipe_Loop,Batch_End,0.084109247,330870.093,1.00830437,TCC
672,Phase 1,conventional feedwater,12/4/17,100% conventional,bulkwater_grab,conventional_feed,DWDS_F,Batch_Start,0.163835243,3760.50444,1.07185986,ICC
713,Phase 1,advanced blend loops,12/4/17,"90% advanced
10% conventional",bulkwater_grab,Loop_3,Pipe_Loop,Batch_End,0.054345596,6210.53004,1.08886532,ICC
800,Phase 1,advanced blend loops,12/4/17,"90% advanced
10% conventional",bulkwater_grab,Loop_4,Pipe_Loop,Batch_End,0.084109247,27829.2344,1.01658544,ICC
231,NA,"full-scale
distribution system
",3/27/18,not applicable,bulkwater_grab,site_15,DWDS_F,NA,0.862781359,55023.7907,1.02161186,TCC
836,Phase 1,conventional control loop,12/4/17,100% conventional,bulkwater_grab,Loop_5,Pipe_Loop,Batch_End,0.605766065,65070.9649,1.02096509,ICC
854,Phase 1,transition loops (Phase 1),12/4/17,100% conventional,bulkwater_grab,Loop_2,Pipe_Loop,Batch_End,0.742507652,102274.867,1.0064108,ICC
896,Phase 1,transition loops (Phase 1),12/4/17,100% conventional,bulkwater_grab,Loop_1,Pipe_Loop,Batch_End,NA,171985.051,1.01458545,ICC
904,Phase 1,advanced feedwater,12/4/17,100% advanced,bulkwater_grab,advanced_feed,Pipe_Loop,Batch_Start,0.703670486,191335.664,1.08292839,ICC
248,Phase 1,conventional control loop,12/7/17,100% conventional,bulkwater_grab,Loop_5,Pipe_Loop,Batch_End,0.643766857,66199.1818,1.00648271,TCC
255,Phase 1,advanced feedwater,12/7/17,100% advanced,bulkwater_grab,advanced_feed,Pipe_Loop,Batch_Start,0.91643156,72556.5765,1.13367213,TCC
284,Phase 1,transition loops (Phase 1),12/7/17,100% conventional,bulkwater_grab,Loop_2,Pipe_Loop,Batch_End,0.743460289,96207.8649,1.01664839,TCC
245,NA,"full-scale
distribution system
",2/16/18,not applicable,bulkwater_grab,site_10,DWDS_F,NA,0.075404221,65658.4599,1.01942115,TCC
310,Phase 1,advanced blend loops,12/7/17,"90% advanced
10% conventional",bulkwater_grab,Loop_3,Pipe_Loop,Batch_End,0.012754623,126444.857,1.01830087,TCC
329,Phase 1,transition loops (Phase 1),12/7/17,100% conventional,bulkwater_grab,Loop_1,Pipe_Loop,Batch_End,0.737798666,142782.42,1.00613717,TCC
443,Phase 1,advanced blend loops,12/7/17,"90% advanced
10% conventional",bulkwater_grab,Loop_4,Pipe_Loop,Batch_End,0.00936823,600851.468,1.02382772,TCC
446,Phase 1,conventional feedwater,12/7/17,100% conventional,bulkwater_grab,conventional_feed,DWDS_F,Batch_Start,0.078039649,622548.935,1.02402582,TCC
250,NA,"full-scale
distribution system
",8/23/17,not applicable,bulkwater_grab,site_24,DWDS_F,NA,0.756979168,69320.2465,1.00434218,TCC
251,NA,"full-scale
distribution system
",3/28/18,not applicable,bulkwater_grab,site_10,DWDS_F,NA,0.019450603,69384.021,1.07519851,TCC
585,Phase 1,advanced blend loops,12/7/17,"90% advanced
10% conventional",bulkwater_grab,Loop_3,Pipe_Loop,Batch_End,0.012754623,1612.75652,1.13946248,ICC
704,Phase 1,advanced blend loops,12/7/17,"90% advanced
10% conventional",bulkwater_grab,Loop_4,Pipe_Loop,Batch_End,0.00936823,5628.91456,1.06465271,ICC
814,Phase 1,conventional control loop,12/7/17,100% conventional,bulkwater_grab,Loop_5,Pipe_Loop,Batch_End,0.643766857,42616.8392,1.02469739,ICC
820,Phase 1,conventional feedwater,12/7/17,100% conventional,bulkwater_grab,conventional_feed,DWDS_F,Batch_Start,0.078039649,48583.5001,1.01787514,ICC
256,NA,"full-scale
distribution system
",3/22/18,not applicable,bulkwater_grab,site_15,DWDS_F,NA,0.807469213,73447.8765,1.02447216,TCC
837,Phase 1,advanced feedwater,12/7/17,100% advanced,bulkwater_grab,advanced_feed,Pipe_Loop,Batch_Start,0.91643156,66493.1366,1.08632889,ICC
841,Phase 1,transition loops (Phase 1),12/7/17,100% conventional,bulkwater_grab,Loop_2,Pipe_Loop,Batch_End,0.743460289,71526.727,1.02328635,ICC
857,Phase 1,transition loops (Phase 1),12/7/17,100% conventional,bulkwater_grab,Loop_1,Pipe_Loop,Batch_End,0.737798666,105344.679,1.00870278,ICC
261,NA,"full-scale
distribution system
",3/27/18,not applicable,bulkwater_grab,site_7,DWDS_F,NA,0.710498278,75677.8956,1.0361422,TCC
102,Phase 1,conventional feedwater,12/11/17,100% conventional,bulkwater_grab,conventional_feed,DWDS_F,Batch_Start,0.459882882,9447.42225,1.10781417,TCC
185,Phase 1,advanced blend loops,12/11/17,"90% advanced
10% conventional",bulkwater_grab,Loop_4,Pipe_Loop,Batch_End,0.065885143,30860.6167,1.15273987,TCC
266,NA,"full-scale
distribution system
",2/14/18,not applicable,bulkwater_grab,site_15,DWDS_F,NA,0.054069967,81281.5331,1.06722744,TCC
192,Phase 1,advanced blend loops,12/11/17,"90% advanced
10% conventional",bulkwater_grab,Loop_3,Pipe_Loop,Batch_End,0.015082971,33515.9691,1.0067702,TCC
268,NA,"full-scale
distribution system
",8/22/17,not applicable,bulkwater_grab,site_13,DWDS_F,NA,0.489422521,82416.1124,1.04094098,TCC
272,NA,"full-scale
distribution system
",3/28/18,not applicable,bulkwater_grab,site_15,DWDS_F,NA,0.162789744,84364.5754,1.42793367,TCC
334,Phase 1,conventional control loop,12/11/17,100% conventional,bulkwater_grab,Loop_5,Pipe_Loop,Batch_End,0.655885676,146665.092,1.03092739,TCC
347,Phase 1,transition loops (Phase 1),12/11/17,100% conventional,bulkwater_grab,Loop_2,Pipe_Loop,Batch_End,0.628862838,161865.987,1.02542511,TCC
411,Phase 1,advanced feedwater,12/11/17,100% advanced,bulkwater_grab,advanced_feed,Pipe_Loop,Batch_Start,0.706886058,302972.685,1.01883069,TCC
456,Phase 1,transition loops (Phase 1),12/11/17,100% conventional,bulkwater_grab,Loop_1,Pipe_Loop,Batch_End,0.898241642,814875.934,1.00704542,TCC
524,Phase 1,advanced blend loops,12/11/17,"90% advanced
10% conventional",bulkwater_grab,Loop_3,Pipe_Loop,Batch_End,0.015082971,505.520378,1.30316756,ICC
281,NA,"full-scale
distribution system
",3/28/18,not applicable,bulkwater_grab,site_24,DWDS_F,NA,0.092802685,95002.2262,1.04514363,TCC
604,Phase 1,advanced blend loops,12/11/17,"90% advanced
10% conventional",bulkwater_grab,Loop_4,Pipe_Loop,Batch_End,0.065885143,2033.25613,1.07205213,ICC
283,NA,"full-scale
distribution system
",2/9/18,not applicable,bulkwater_grab,site_7,DWDS_F,NA,0.332592922,96069.8063,1.02266434,TCC
684,Phase 1,conventional feedwater,12/11/17,100% conventional,bulkwater_grab,conventional_feed,DWDS_F,Batch_Start,0.459882882,4344.70777,1.02830743,ICC
850,Phase 1,conventional control loop,12/11/17,100% conventional,bulkwater_grab,Loop_5,Pipe_Loop,Batch_End,0.655885676,96195.533,1.01214894,ICC
853,Phase 1,transition loops (Phase 1),12/11/17,100% conventional,bulkwater_grab,Loop_2,Pipe_Loop,Batch_End,0.628862838,101791.504,1.02435647,ICC
912,Phase 1,advanced feedwater,12/11/17,100% advanced,bulkwater_grab,advanced_feed,Pipe_Loop,Batch_Start,0.706886058,214167.167,1.06106149,ICC
951,Phase 1,transition loops (Phase 1),12/11/17,100% conventional,bulkwater_grab,Loop_1,Pipe_Loop,Batch_End,0.898241642,731955.497,1.00909634,ICC
163,Phase 1,conventional feedwater,12/14/17,100% conventional,bulkwater_grab,conventional_feed,DWDS_F,Batch_Start,0.094827583,23912.5987,1.11245634,TCC
216,Phase 1,advanced blend loops,12/14/17,"90% advanced
10% conventional",bulkwater_grab,Loop_4,Pipe_Loop,Batch_End,0.031067317,47014.3478,1.0372288,TCC
222,Phase 1,conventional control loop,12/14/17,100% conventional,bulkwater_grab,Loop_5,Pipe_Loop,Batch_End,0.444254742,50239.8676,1.08208412,TCC
224,Phase 1,advanced blend loops,12/14/17,"90% advanced
10% conventional",bulkwater_grab,Loop_3,Pipe_Loop,Batch_End,0.033659787,50765.259,1.00995795,TCC
257,Phase 1,transition loops (Phase 1),12/14/17,100% conventional,bulkwater_grab,Loop_2,Pipe_Loop,Batch_End,0.464579208,74393.4976,1.03796697,TCC
412,Phase 1,transition loops (Phase 1),12/14/17,100% conventional,bulkwater_grab,Loop_1,Pipe_Loop,Batch_End,0.219996321,304419.355,1.0367563,TCC
424,Phase 1,advanced feedwater,12/14/17,100% advanced,bulkwater_grab,advanced_feed,Pipe_Loop,Batch_Start,0.980127334,408433.018,1.09039337,TCC
575,Phase 1,advanced blend loops,12/14/17,"90% advanced
10% conventional",bulkwater_grab,Loop_4,Pipe_Loop,Batch_End,0.031067317,1460.60964,1.1405601,ICC
592,Phase 1,advanced blend loops,12/14/17,"90% advanced
10% conventional",bulkwater_grab,Loop_3,Pipe_Loop,Batch_End,0.033659787,1708.74779,1.08285387,ICC
618,Phase 1,conventional feedwater,12/14/17,100% conventional,bulkwater_grab,conventional_feed,DWDS_F,Batch_Start,0.094827583,2267.57393,1.0779665,ICC
795,Phase 1,conventional control loop,12/14/17,100% conventional,bulkwater_grab,Loop_5,Pipe_Loop,Batch_End,0.444254742,22319.2994,1.04780565,ICC
807,Phase 1,transition loops (Phase 1),12/14/17,100% conventional,bulkwater_grab,Loop_2,Pipe_Loop,Batch_End,0.464579208,34561.6722,1.04346253,ICC
312,NA,"full-scale
distribution system
",8/23/17,not applicable,bulkwater_grab,site_23,DWDS_F,NA,0.828059689,126798.863,1.01822596,TCC
838,Phase 1,transition loops (Phase 1),12/14/17,100% conventional,bulkwater_grab,Loop_1,Pipe_Loop,Batch_End,0.219996321,66971.138,1.05075757,ICC
320,NA,"full-scale
distribution system
",8/23/17,not applicable,bulkwater_grab,site_21,DWDS_F,NA,0.83013825,133709.037,1.02791841,TCC
931,Phase 1,advanced feedwater,12/14/17,100% advanced,bulkwater_grab,advanced_feed,Pipe_Loop,Batch_Start,0.980127334,400316.365,1.32801146,ICC
323,NA,"full-scale
distribution system
",8/23/17,not applicable,bulkwater_grab,site_5,DWDS_F,NA,0.806537653,135659.209,1.01591885,TCC
159,Phase 1,conventional feedwater,12/18/17,100% conventional,bulkwater_grab,conventional_feed,DWDS_F,Batch_Start,0.144131469,22607.9261,1.0782092,TCC
327,NA,"full-scale
distribution system
",8/22/17,not applicable,bulkwater_grab,site_7,DWDS_F,NA,0.460571323,139989.041,1.01834395,TCC
191,Phase 1,conventional control loop,12/18/17,100% conventional,bulkwater_grab,Loop_5,Pipe_Loop,Batch_End,0.354843288,33176.5021,1.02184659,TCC
214,Phase 1,advanced blend loops,12/18/17,"90% advanced
10% conventional",bulkwater_grab,Loop_4,Pipe_Loop,Batch_End,0.019903744,45960.3551,1.01025286,TCC
218,Phase 1,transition loops (Phase 1),12/18/17,100% conventional,bulkwater_grab,Loop_2,Pipe_Loop,Batch_End,0.315302924,47340.1464,1.01355668,TCC
276,Phase 1,advanced blend loops,12/18/17,"90% advanced
10% conventional",bulkwater_grab,Loop_3,Pipe_Loop,Batch_End,0.00757603,86456.9918,1.05925335,TCC
333,NA,"full-scale
distribution system
",8/23/17,not applicable,bulkwater_grab,site_22,DWDS_F,NA,0.917434293,145459.736,1.02086846,TCC
295,Phase 1,transition loops (Phase 1),12/18/17,100% conventional,bulkwater_grab,Loop_1,Pipe_Loop,Batch_End,0.508367437,111021.278,1.02999553,TCC
431,Phase 1,advanced feedwater,12/18/17,100% advanced,bulkwater_grab,advanced_feed,Pipe_Loop,Batch_Start,0.275494015,478521.484,1.06393778,TCC
534,Phase 1,advanced blend loops,12/18/17,"90% advanced
10% conventional",bulkwater_grab,Loop_3,Pipe_Loop,Batch_End,0.00757603,655.000764,1.12941357,ICC
547,Phase 1,advanced blend loops,12/18/17,"90% advanced
10% conventional",bulkwater_grab,Loop_4,Pipe_Loop,Batch_End,0.019903744,914.783156,1.18902974,ICC
655,Phase 1,conventional feedwater,12/18/17,100% conventional,bulkwater_grab,conventional_feed,DWDS_F,Batch_Start,0.144131469,3258.5136,1.11538383,ICC
762,Phase 1,conventional control loop,12/18/17,100% conventional,bulkwater_grab,Loop_5,Pipe_Loop,Batch_End,0.354843288,11772.4591,1.02941221,ICC
773,Phase 1,transition loops (Phase 1),12/18/17,100% conventional,bulkwater_grab,Loop_2,Pipe_Loop,Batch_End,0.315302924,14926.4866,1.10081193,ICC
826,Phase 1,transition loops (Phase 1),12/18/17,100% conventional,bulkwater_grab,Loop_1,Pipe_Loop,Batch_End,0.508367437,56439.6026,1.03111352,ICC
870,Phase 1,advanced feedwater,12/18/17,100% advanced,bulkwater_grab,advanced_feed,Pipe_Loop,Batch_Start,0.275494015,131829.805,1.05720715,ICC
70,Phase 1,conventional feedwater,12/29/17,100% conventional,bulkwater_grab,conventional_feed,DWDS_F,Batch_Start,0.331601544,4808.96205,1.07114233,TCC
167,Phase 1,conventional control loop,12/29/17,100% conventional,bulkwater_grab,Loop_5,Pipe_Loop,Batch_End,0.298300458,25473.0323,1.04964489,TCC
193,Phase 1,transition loops (Phase 1),12/29/17,100% conventional,bulkwater_grab,Loop_2,Pipe_Loop,Batch_End,0.27896193,33873.0489,1.03454402,TCC
226,Phase 1,transition loops (Phase 1),12/29/17,100% conventional,bulkwater_grab,Loop_1,Pipe_Loop,Batch_End,0.390964757,51616.5821,1.03270729,TCC
290,Phase 1,advanced blend loops,12/29/17,"90% advanced
10% conventional",bulkwater_grab,Loop_4,Pipe_Loop,Batch_End,0.015194063,107265.424,1.02999276,TCC
375,NA,"full-scale
distribution system
",8/22/17,not applicable,bulkwater_grab,site_14,DWDS_F,NA,0.016119934,216377.939,1.02272177,TCC
332,Phase 1,advanced blend loops,12/29/17,"90% advanced
10% conventional",bulkwater_grab,Loop_3,Pipe_Loop,Batch_End,0.007321797,143901.788,1.01119442,TCC
434,Phase 1,advanced feedwater,12/29/17,100% advanced,bulkwater_grab,advanced_feed,Pipe_Loop,Batch_Start,0.852760048,490541.013,1.04786243,TCC
556,Phase 1,advanced blend loops,12/29/17,"90% advanced
10% conventional",bulkwater_grab,Loop_3,Pipe_Loop,Batch_End,0.007321797,1053.61973,1.19822418,ICC
584,Phase 1,conventional feedwater,12/29/17,100% conventional,bulkwater_grab,conventional_feed,DWDS_F,Batch_Start,0.331601544,1594.65924,1.25807125,ICC
589,Phase 1,advanced blend loops,12/29/17,"90% advanced
10% conventional",bulkwater_grab,Loop_4,Pipe_Loop,Batch_End,0.015194063,1629.79764,1.22960065,ICC
732,Phase 1,conventional control loop,12/29/17,100% conventional,bulkwater_grab,Loop_5,Pipe_Loop,Batch_End,0.298300458,7598.61719,1.0505338,ICC
753,Phase 1,transition loops (Phase 1),12/29/17,100% conventional,bulkwater_grab,Loop_2,Pipe_Loop,Batch_End,0.27896193,9449.29111,1.03911036,ICC
788,Phase 1,transition loops (Phase 1),12/29/17,100% conventional,bulkwater_grab,Loop_1,Pipe_Loop,Batch_End,0.390964757,20180.2645,1.03679876,ICC
932,Phase 1,advanced feedwater,12/29/17,100% advanced,bulkwater_grab,advanced_feed,Pipe_Loop,Batch_Start,0.852760048,418313.778,1.02259993,ICC
393,NA,"full-scale
distribution system
",8/22/17,not applicable,bulkwater_grab,site_16,DWDS_F,NA,0.006026714,253031.768,1.074908,TCC
59,Phase 1,conventional feedwater,1/1/18,100% conventional,bulkwater_grab,conventional_feed,DWDS_F,Batch_Start,0.407847416,3220.55151,1.04082935,TCC
129,Phase 1,conventional control loop,1/1/18,100% conventional,bulkwater_grab,Loop_5,Pipe_Loop,Batch_End,0.371887113,16707.2204,1.03426061,TCC
166,Phase 1,transition loops (Phase 1),1/1/18,100% conventional,bulkwater_grab,Loop_2,Pipe_Loop,Batch_End,0.353758193,25320.2294,1.0406493,TCC
204,Phase 1,transition loops (Phase 1),1/1/18,100% conventional,bulkwater_grab,Loop_1,Pipe_Loop,Batch_End,0.352473483,39463.3746,1.05233761,TCC
293,Phase 1,advanced blend loops,1/1/18,"90% advanced
10% conventional",bulkwater_grab,Loop_4,Pipe_Loop,Batch_End,0.008094881,109523.527,1.06704691,TCC
330,Phase 1,advanced blend loops,1/1/18,"90% advanced
10% conventional",bulkwater_grab,Loop_3,Pipe_Loop,Batch_End,0.015132269,142926.55,1.05896877,TCC
449,Phase 1,advanced feedwater,1/1/18,100% advanced,bulkwater_grab,advanced_feed,Pipe_Loop,Batch_Start,0.903317328,684762.201,1.03397651,TCC
410,NA,"full-scale
distribution system
",8/22/17,not applicable,bulkwater_grab,site_15,DWDS_F,NA,0.003946477,296814.627,1.0138563,TCC
542,Phase 1,advanced blend loops,1/1/18,"90% advanced
10% conventional",bulkwater_grab,Loop_4,Pipe_Loop,Batch_End,0.008094881,886.579969,1.1317614,ICC
567,Phase 1,conventional feedwater,1/1/18,100% conventional,bulkwater_grab,conventional_feed,DWDS_F,Batch_Start,0.407847416,1313.49361,1.26226878,ICC
613,Phase 1,advanced blend loops,1/1/18,"90% advanced
10% conventional",bulkwater_grab,Loop_3,Pipe_Loop,Batch_End,0.015132269,2162.803,1.1383859,ICC
714,Phase 1,conventional control loop,1/1/18,100% conventional,bulkwater_grab,Loop_5,Pipe_Loop,Batch_End,0.371887113,6213.19996,1.17627042,ICC
747,Phase 1,transition loops (Phase 1),1/1/18,100% conventional,bulkwater_grab,Loop_2,Pipe_Loop,Batch_End,0.353758193,8957.23859,1.09369489,ICC
770,Phase 1,transition loops (Phase 1),1/1/18,100% conventional,bulkwater_grab,Loop_1,Pipe_Loop,Batch_End,0.352473483,13909.7931,1.21512464,ICC
943,Phase 1,advanced feedwater,1/1/18,100% advanced,bulkwater_grab,advanced_feed,Pipe_Loop,Batch_Start,0.903317328,618557.562,1.09056562,ICC
50,Phase 2,conventional feedwater,1/5/18,100% conventional,bulkwater_grab,conventional_feed,DWDS_F,Batch_Start,0.191875636,2558.83627,1.1060234,TCC
123,Phase 1,conventional control loop,1/5/18,100% conventional,bulkwater_grab,Loop_5,Pipe_Loop,Batch_End,0.494454308,14682.7161,1.05017366,TCC
184,Phase 1,transition loops (Phase 1),1/5/18,100% conventional,bulkwater_grab,Loop_2,Pipe_Loop,Batch_End,0.420017558,30299.6933,1.02456594,TCC
207,Phase 1,transition loops (Phase 1),1/5/18,100% conventional,bulkwater_grab,Loop_1,Pipe_Loop,Batch_End,0.466103316,41727.38,1.01070767,TCC
274,Phase 1,advanced blend loops,1/5/18,"90% advanced
10% conventional",bulkwater_grab,Loop_4,Pipe_Loop,Batch_End,0.007571356,84765.4843,1.01095147,TCC
319,Phase 1,advanced blend loops,1/5/18,"90% advanced
10% conventional",bulkwater_grab,Loop_3,Pipe_Loop,Batch_End,0.006814353,133130.803,1.01531772,TCC
438,Phase 2,advanced feedwater,1/5/18,100% advanced,bulkwater_grab,advanced_feed,Pipe_Loop,Batch_Start,0.357789077,518499.787,1.03789344,TCC
522,Phase 2,conventional feedwater,1/5/18,100% conventional,bulkwater_grab,conventional_feed,DWDS_F,Batch_Start,0.191875636,490.978338,1.24866199,ICC
533,Phase 1,advanced blend loops,1/5/18,"90% advanced
10% conventional",bulkwater_grab,Loop_4,Pipe_Loop,Batch_End,0.007571356,641.789694,1.12796674,ICC
546,Phase 1,advanced blend loops,1/5/18,"90% advanced
10% conventional",bulkwater_grab,Loop_3,Pipe_Loop,Batch_End,0.006814353,907.200326,1.1926691,ICC
728,Phase 1,conventional control loop,1/5/18,100% conventional,bulkwater_grab,Loop_5,Pipe_Loop,Batch_End,0.494454308,7259.93223,1.12116772,ICC
764,Phase 1,transition loops (Phase 1),1/5/18,100% conventional,bulkwater_grab,Loop_2,Pipe_Loop,Batch_End,0.420017558,12726.4032,1.02538182,ICC
784,Phase 1,transition loops (Phase 1),1/5/18,100% conventional,bulkwater_grab,Loop_1,Pipe_Loop,Batch_End,0.466103316,19449.2702,1.03385075,ICC
901,Phase 2,advanced feedwater,1/5/18,100% advanced,bulkwater_grab,advanced_feed,Pipe_Loop,Batch_Start,0.357789077,185513.56,1.11629412,ICC
247,Phase 2,transition loops (Phase 2),1/6/18,"90% advanced
10% conventional",bulkwater_grab,Loop_1,Pipe_Loop,Between_Batch,0.076663948,65948.5747,1.02219364,TCC
265,Phase 2,transition loops (Phase 2),1/6/18,"90% advanced
10% conventional",bulkwater_grab,Loop_2,Pipe_Loop,Between_Batch,0.06702929,77563.0871,1.01748532,TCC
389,Phase 2,advanced blend loops,1/6/18,"90% advanced
10% conventional",bulkwater_grab,Loop_3,Pipe_Loop,Between_Batch,0.011093699,243084.542,1.0169327,TCC
409,Phase 2,advanced blend loops,1/6/18,"90% advanced
10% conventional",bulkwater_grab,Loop_4,Pipe_Loop,Between_Batch,0.016460884,296298.774,1.00835057,TCC
637,Phase 2,advanced blend loops,1/6/18,"90% advanced
10% conventional",bulkwater_grab,Loop_3,Pipe_Loop,Between_Batch,0.011093699,2696.70663,1.09954273,ICC
690,Phase 2,advanced blend loops,1/6/18,"90% advanced
10% conventional",bulkwater_grab,Loop_4,Pipe_Loop,Between_Batch,0.016460884,4877.33985,1.06753247,ICC
693,Phase 2,transition loops (Phase 2),1/6/18,"90% advanced
10% conventional",bulkwater_grab,Loop_1,Pipe_Loop,Between_Batch,0.076663948,5055.87809,1.00080129,ICC
698,Phase 2,transition loops (Phase 2),1/6/18,"90% advanced
10% conventional",bulkwater_grab,Loop_2,Pipe_Loop,Between_Batch,0.06702929,5198.99862,1.06344095,ICC
238,Phase 2,transition loops (Phase 2),1/7/18,"90% advanced
10% conventional",bulkwater_grab,Loop_1,Pipe_Loop,Between_Batch,0.104903037,58249.1981,1.25805987,TCC
258,Phase 2,transition loops (Phase 2),1/7/18,"90% advanced
10% conventional",bulkwater_grab,Loop_2,Pipe_Loop,Between_Batch,0.049389527,74419.9607,1.03138887,TCC
355,Phase 2,advanced blend loops,1/7/18,"90% advanced
10% conventional",bulkwater_grab,Loop_3,Pipe_Loop,Between_Batch,0.007999768,172845.531,1.0179666,TCC
380,Phase 2,advanced blend loops,1/7/18,"90% advanced
10% conventional",bulkwater_grab,Loop_4,Pipe_Loop,Between_Batch,0.011988795,227042.823,1.05022322,TCC
492,NA,RO permeate,8/1/17,not applicable,bulkwater_grab,RO_2stage,AWTP_2,NA,0.247225361,43.7864197,1.12458476,ICC
493,NA,RO permeate,11/7/17,not applicable,bulkwater_grab,RO_2stage,AWTP_2,NA,0.615697477,64.583098,1.35096247,ICC
