batch_end_date,bulk_water_sequencing,biofilm_sequencing
10/26/17,0,0
10/30/17,0,0
11/2/17,0,0
11/6/17,0,0
11/13/17,0,0
11/20/17,0,0
11/27/17,0,0
11/30/17,0,0
12/4/17,0,0
12/7/17,1,0
12/11/17,1,0
12/14/17,1,1
12/18/17,1,0
12/21/17,0,0
12/26/17,0,0
12/29/17,1,1
1/1/18,1,0
1/5/18,1,1
1/8/18,1,0
1/12/18,1,1
1/15/18,1,1
1/18/18,0,1
1/22/18,0,0
1/25/18,0,0
1/29/18,0,0
2/1/18,0,0
2/5/18,0,0
2/9/18,0,0
2/12/18,0,0
2/15/18,1,1
2/19/18,1,0
2/23/18,0,0
2/27/18,0,0
3/1/18,1,0
3/5/18,1,0
3/8/18,0,0
3/12/18,0,0
3/15/18,0,0
3/19/18,0,0
3/22/18,1,0
3/26/18,1,1